시간,일정,장소,세부 내용,담당자,필요 도우미 수,배정된 도우미
AM 6:30,미션 달리기 준비,인조잔디구장,"
-프로그램 기획/담당에서 미션달리기 구역 정해주고, 
각각 1,2,3,4,5번 타자의 위치에 물건 놓기
1:줄넘기
2:낙하산
3:동물마스크
4:미션지
5:덤벨
-콘 설치","프로그램:고은솔
시설:최현수",9*2=18,-
AM 6:45,대야 물풍선 준비,인조잔디구장,"-물풍선 던지는 선/받는 선 정하고 표시하기
-용기 110L로 활동 중간에도 물 계속 채워주기
-우비와 슬리퍼는 대야 위에 놓기(받는 선)
-다회용 물풍선 장전 후 2개의 큰 대야 위에
 공평하게 놓기(던지는 선)","프로그램:고은솔
시설:최현수",3*2=6,-
AM 7:00,이벤트 풋살 준비,인조잔디구장,"-프로그램 기획/시설 담당이 풋살 구역 알려줄 것임->
 콘으로 함께 풋살 구역 만들기","프로그램:고은솔
시설:최현수",3*2=6,-
AM 7:15,물총 축구 준비,인조잔디구장,"-프로그램 기획/시설 담당이 풋살 구역 알려줄 것임->
콘으로 구역 설치
-물총 물 채우기
-용기110L로 활동 중간에도 물 계속 채워주기
-비치볼 바람 넣기","프로그램:고은솔
시설:최현수",3*2=6,-
AM 7:30,추억의 뽑기 준비,인조잔디 미니부스,"-테이블 위에 상품 잘 정리
-테이블 위에 뽑기판 2개 놓기","프로그램:고은솔
시설:최현수",1*2=2,-
AM 7:45,림보 준비,인조잔디 미니부스,-림보거치대 설치,"프로그램:고은솔
시설:최현수",1*2=2,-
AM 8:00,콩주머니 넣기 준비,인조잔디 미니부스,-과녁과 콩주머니 준비,"프로그램:고은솔
시설:최현수",1*2=2,-
AM 8:15,다트 준비,인조잔디 미니부스,-다트와 다트판 준비,"프로그램:고은솔
시설:최현수",1*2=2,-
AM 8:15,장막 줄다리기 준비,대강당,"-멀칭비닐로 2m의 장막 만들기
-전략밧줄 5개를 놓고, (기준선)가운데를 종이 테잎으로 표시
-양팀 출발선 표시
-줄 가운데 맨 양쪽 끝에 의자 놓기(장막 들 때 올라가는 용)","프로그램:김서연
시설:한시인",3,-
AM 8:15,7:7 탁구 준비,대강당,"-탁구대 피기, 네트 준비
-7가지 종류 라켓 준비
-탁구공 준비","프로그램:김서연
시설:한시인",1,-
AM 8:15,짐볼 배구 준비,대강당,"-애드벌룬 바람 넣기
-16개 조끼 한쪽 코트에 놓기","프로그램:김서연
시설:한시인",3,-
AM 8:15,인간 컬링 준비,대강당,"-조끼 4개(같은색) 준비
-출발선 테이프로 부착
-점수판 테이프로 부착
-양 팀 라인에 의자 4개씩 두기","프로그램:김서연
시설:한시인",2,-
AM 8:15,한컴타자연습 준비,대강당 미니부스,"-노트북 충전기  연결
-2대 전원키고 한컴타자 켜놓기
-별도의 키보드로 타자 칠 예정이라 키보드도 연결","프로그램:김서연
시설:한시인",1,-
AM 8:15,큐브 준비,대강당 미니부스,-큐브 챙기기,"프로그램:김서연
시설:한시인",1,-
AM 8:15,젓가락 콩 옮기기 준비,대강당 미니부스,-접시 2개 책상위에 놓고 한쪽 접시엔 콩 놓기,"프로그램:김서연
시설:한시인",1,-
AM 8:15,츄파춥스 팽이 준비,대강당 미니부스,-책상위에 스탠드형 츄파춥스 놓기,"프로그램:김서연
시설:한시인",1,-
AM 8:15,누가누가기나 준비,태권도장,-,"프로그램:주은수
시설:최현수",1,-
AM 8:15,줄세우기 준비,태권도장,-미션지 챙기기,"프로그램:주은수
시설:최현수",1,-
AM 8:15,판뒤집기 준비,태권도장,"-판 60개 준비
-활동구역 구분 선만들기","프로그램:주은수
시설:최현수",2,-
AM 8:15,손바닥 끈끈이 준비,태권도장 미니부스,"-책상 위에 손바닥 끈끈이와 동전 세팅
(우선 2개, 인원 많을 시 추가 고려)","프로그램:주은수
시설:최현수",1,-
AM 8:15,"바람잡이 특공대
 준비
",배드민턴장,"-미션지 준비
-통천 2개 세팅(네모로 펼쳐놓기)
-조끼 16개 챙기기
-확성기 2개 챙기기, 막대기 챙기기","프로그램:권하람
시설:한시인",5,-
AM 8:15,대형 젠가 준비,배드민턴장,-미리 접어놓은 박스 40개 챙겨서 탑 쌓기,"프로그램:권하람
시설:한시인",2,-
AM 8:15,컵쌓기 준비,배드민턴장 미니부스,-컵 세팅해놓기,"프로그램:권하람
시설:한시인",1,-
AM 9:00,미션 달리기 ,인조잔디구장,"<타임라인> 10m
0. 6vs6vs6vs6(각각 형제3, 자매3 혼성으로 한 팀)
1. 미션달리기 설명(45”’)
2. 각 팀에서 주자 혼성으로 자매3/형제3=6명 구성(30’’)
3. 주자들 각 구간에 이동 (1’)
4. 미션달리기(6’)
5. 결과 발표, 미션 준비물들 원위치(2’)

<규칙>
-1번 주자 미션
줄넘기 하며 달리고 2번 주자에게 바통 전달
-2번 주자 미션
낙하산을 메고 달려 3번 주자에게 바통 전달
-3번 주자 미션
동물 마스크 착용 후 4번 주자에게 바통 전달
-4번 주자 미션
미션지 내용 수행 후 5번 주자에게 바통 전달
-5번 주자 미션
덤벨 들고 마지막 주자에게 바통 전달
-6번 주자 미션
결승선까지 전력질주

<점수>
기본 참가 점수:200
승리팀:1000","프로그램:고은솔
시설:최현수",9*2=18,-
AM 9:15,대야 물풍선,인조잔디구장,"<타임라인> 10m
0. 3판 2선승제
1. 게임 설명을 한다. (1’)
2. 받을 사람은 우비와 슬리퍼를 착용하고 위치에 가서 선다./
나머지 사람들은 기준 선에 선다. (1')
3. 제한 시간 안에 물풍선을 더 많이 담은 조가 점수를 획득한다. (1*3')
4.물풍선을 정리 및 충전한다. (3')

<규칙>
-모든 참가자는 기준 선을 넘지 않도록 한다.
-대야를 받는 사람은 머리 아래로 대야를 내리지 않는다.
-기준선 안에서 움직여서 물풍선을 받는 것은 허용된다.
-떨어진 물풍선은 다시 주워서 사용 가능하다.

<점수>
기본 참가 점수:200
승리팀:600","프로그램:고은솔
시설:최현수",3*2=6,-
AM 9:30,이벤트 풋살,인조잔디구장,"<타임라인> 14m
0. 8vs8(형제4,자매4), 경기시간:10분
1. 규칙을 설명한다. (1')
2.각 팀당 풋살에 참여할 8명을 혼성으로
(4명 형제, 4명 자매) 뽑는다. (1') ->*중간에 교체 가능
3. 팀 조끼를 준다. (30”)
4. 풋살 경기를 한다. (10’)
5. 조끼 회수 및 경기 결과를 발표한다. (1')

<규칙>
-자매 득점시 2점
-자매 공 소유시 스크린 하기(농구처럼, 다리뻗고 태클 금지)
-형제 헤딩 득점시 1점
-형제 헤딩 외 득점시 -1점
-라인 아웃시 쓰로잉 없이 무조건 발로 패스
-부상 방지를 위해 실질적 파울이 아니더라도 위험한 액션시 경고
-골키퍼 (5분간) 오리발 착용
-*중간에(시작 7분 후) 이벤트 발생으로 공 추가->총 2개로 진행
-10분동안 더 많은 득점을 한 팀이 승리,
-만약 승부가 나지 않았다면 가위바위보로 결정

<점수>
기본 참가 점수:200
승리팀:800","프로그램:고은솔
시설:최현수",3*2=6,-
AM 9:45,물총 축구,인조잔디구장,"<타임라인> 11m
0. 5vs5, 경기시간:2분씩 2판(리필 불가)
1. 간단한 규칙 설명 (1’)
2. 각 팀당 5명 선정, 한팀은 조끼 입도록 (1’)
3. 물총축구 (5’)
4. 결과 발표 및 정리 (1’30"")
5. 물총 리로드 (2’)
+골대 길게 하기로 함

<규칙>
-공을 건드리지 않고 물총으로 움직여 골대에 넣기
-라인 아웃시 공을 가져와 공격, 진행팀이 먼저 물총을 쏘고 시작
-사람에게 물총 사용시 경고, 경고 2회 누적시 퇴장
-골키퍼 없음
-공과 신체 또는 물총 접촉시 반칙(유연하게 판단하기..)

<점수>
기본 참가 점수:200
승리팀:800","프로그램:고은솔
시설:최현수",3*2=6,-
AM 10:00,추억의 뽑기,인조잔디 미니부스,"<타임라인> 40sec
1.뽑기 (10"")
2.간식증정 (30"")

<규칙>
-한 사람당 한 번의 기회가 주어져야 한다","프로그램:고은솔
시설:최현수",1*2=2,-
AM 10:15,림보,인조잔디 미니부스,"<타임라인> 3m
약 1.2m부터 시작해서 모든사람이 지나가면 한칸 내린다.
높이를 낮춰가며 반복한다. (3’)

<규칙>
80센치 통과자->간식 획득","프로그램:고은솔
시설:최현수",1*2=2,-
AM 10:30,콩주머니 넣기,인조잔디 미니부스,"<타임라인> 2m
기준선에서 과녁의 구멍에 콩 주머니를 넣는다. (2')

<규칙>
-기준선 지키기
-총 4번의 시도
-4개 중 2개 이상->간식 획득","프로그램:고은솔
시설:최현수",1*2=2,-
AM 10:45,다트,인조잔디 미니부스,"<타임라인> 2m
1. 간단한 규칙 설명(10’’)
2. 다트 시작(1~3’’)
3. 간식 증정(30"")

<규칙>
-다트 규칙과 동일하게 라인에 서서 다트 투척
-3개 던져서 100점 이상->간식 획득","프로그램:고은솔
시설:최현수",1*2=2,-
